champion,position,win_loss_percentage,total_games_played,total_kills,total_deaths,total_assists,kda_ratio,avg_creep_score,avg_gold_earn,avg_kill_participation
"Miss Fortune",Adc,0.50,18,74,39,89,4.18,290,13206,0.65
Ezreal,Adc,0.56,9,41,17,40,4.76,318,14620,0.65
Lucian,Adc,0.33,6,20,20,20,2.00,260,11409,0.61
Aphelios,Adc,0.67,3,7,3,20,9.00,274,12507,0.54
Senna,Adc,0.50,2,3,3,25,9.33,54,9181,0.83
Kaisa,Adc,1.00,1,9,2,3,6.00,272,14162,0.57
Xayah,Adc,1.00,1,3,1,7,10.00,342,14369,0.48
Draven,Adc,1.00,1,10,2,4,7.00,353,20546,0.74
Jhin,Adc,0.00,1,1,0,1,2.00,303,11579,0.5
Tristana,Adc,0.00,1,1,4,3,1.00,220,9588,0.57
Kalista,Adc,0.00,1,1,4,3,1.00,246,10708,0.44
"Xin Zhao",Jungle,0.33,12,26,43,56,1.91,164,9610,0.56
"Lee Sin",Jungle,0.38,8,12,28,44,2.00,176,10030,0.51
Qiyana,Jungle,0.80,5,11,10,28,3.90,187,10392,0.59
Lillia,Jungle,0.75,4,16,10,27,4.30,216,12060,0.65
Graves,Jungle,0.33,3,15,12,15,2.50,206,11554,0.7
Taliyah,Jungle,1.00,3,19,6,25,7.33,199,11972,0.69
Talon,Jungle,1.00,2,11,5,15,5.20,202,12109,0.61
Gragas,Jungle,1.00,1,3,2,9,6.00,177,10271,0.8
Trundle,Jungle,0.00,1,2,4,5,1.75,156,9048,0.78
Sejuani,Jungle,0.00,1,0,4,5,1.25,220,11325,1
Olaf,Jungle,0.00,1,7,4,3,2.50,225,13610,0.83
Zed,Jungle,0.00,1,1,5,3,0.80,116,6557,0.8
Jarvan,Jungle,0.00,1,1,4,3,1.00,189,9729,0.67
Nocturn,Jungle,1.00,1,2,3,12,4.67,168,10498,0.56
Sylas,Mid,0.44,9,28,30,50,2.60,238,11596,0.66
Leblanc,Mid,0.33,6,12,15,25,2.47,221,10092,0.57
Orianna,Mid,0.25,4,14,13,18,2.46,328,14705,0.64
Zoe,Mid,0.33,3,3,6,12,2.50,247,10928,0.42
Azir,Mid,0.67,3,4,3,5,3.00,293,12226,0.17
Irelia,Mid,0.33,3,8,10,15,2.30,280,12692,0.63
Ryze,Mid,0.67,3,5,11,12,1.55,296,12790,0.39
Tryndamere,Mid,0.67,3,14,5,22,7.20,329,15353,0.77
"Twisted Fate",Mid,0.50,2,8,4,19,6.75,184,11260,0.84
Syndra,Mid,1.00,1,1,3,8,3.00,194,9516,0.47
Zed,Mid,1.00,1,2,1,0,2.00,266,11214,0.13
Galio,Mid,0.00,1,0,2,4,2.00,177,7300,0.8
Gragas,Mid,1.00,1,2,1,10,12.00,359,15853,0.67
Yone,Mid,0.00,1,2,5,8,2.00,279,13718,0.63
Lissandra,Mid,1.00,1,3,2,7,5.00,208,9633,0.48
Sett,Mid,1.00,1,5,2,6,5.50,205,11355,0.73
Akali,Mid,1.00,1,1,1,4,5.00,267,12271,0.23
Leona,Support,0.92,13,11,31,131,4.58,37,7639,0.6
Amumu,Support,0.13,8,3,39,54,1.46,32,6476,0.69
Rakan,Support,0.63,8,2,19,86,4.63,41,7696,0.72
Braum,Support,0.33,3,0,5,25,5.00,35,6398,0.55
Thresh,Support,0.50,2,3,4,18,5.25,27,6903,0.75
Nami,Support,0.00,2,2,6,5,1.17,19,6538,0.91
Alistar,Support,0.00,1,0,4,2,0.50,27,5451,0.5
Lulu,Support,0.00,1,1,3,3,1.33,14,6486,0.8
Bard,Support,1.00,1,1,0,10,11.00,22,8568,0.65
Rell,Support,0.00,1,1,2,8,4.50,28,5843,0.82
Sion,Support,1.00,1,2,1,9,11.00,184,8889,0.58
Karma,Support,0.00,1,1,3,3,1.33,35,8265,0.8
Nautilus,Support,0.00,1,0,4,2,0.50,37,4985,0.29
Wukong,Support,0.00,1,0,4,7,1.75,200,10354,0.5
Jayce,Top,0.33,9,28,32,30,1.81,242,12225,0.58
Camille,Top,0.75,4,16,12,27,3.58,207,11944,0.69
Kennen,Top,0.50,4,14,10,18,3.20,244,12127,0.46
Gangplank,Top,0.00,3,9,13,7,1.23,201,10559,0.63
Gnar,Top,0.33,3,15,10,11,2.60,229,12391,0.68
Renekton,Top,0.50,2,5,6,0,0.83,267,11633,0.21
Jarvan,Top,0.50,2,5,8,14,2.38,186,10287,0.53
Aatrox,Top,0.50,2,5,4,7,3.00,235,11245,0.49
Wukong,Top,0.50,2,12,3,3,5.00,184,10968,0.65
Jax,Top,0.50,2,9,5,11,4.00,297,14608,0.69
Urgot,Top,1.00,2,14,1,11,25.00,226,12885,0.63
Irelia,Top,0.50,2,1,6,4,0.83,319,13240,0.19
Graves,Top,0.00,1,3,2,3,3.00,268,12028,0.75
Fiora,Top,1.00,1,8,1,2,10.00,235,13180,0.67
Lillia,Top,0.00,1,3,4,6,2.25,283,13410,0.56
Malphite,Top,1.00,1,4,2,14,9.00,259,14836,0.69
Sett,Top,1.00,1,3,4,10,3.25,231,13708,0.65
"Tahm Kench",Top,1.00,1,4,0,7,11.00,285,14704,0.58
Gwen,Top,1.00,1,3,1,9,12.00,217,12201,0.52
