team,player,position,total_kills,total_deaths,total_assist,kda_ratio,avg_creep_score,avg_gold_earned,avg_damage_share
BYG,Doggo,Adc,29,9,18,5.22,341,15532,0.39
BYG,Husha,Jungle,13,20,29,2.10,183,10691,0.18
BYG,Maoan,Mid,11,20,22,1.65,272,12468,0.18
BYG,Kino,Support,0,22,42,1.91,35,7402,0.06
BYG,Liang,Top,13,9,18,3.44,250,12477,0.19
BYG,Pk,Top,1,6,2,0.50,189,9150,0.16
C9,Zven,Adc,22,9,30,5.78,313,14277,0.25
C9,Blaber,Jungle,19,16,36,3.44,202,11547,0.18
C9,Perkz,Mid,22,12,27,4.08,276,13220,0.26
C9,Vulcan,Support,6,17,52,3.41,32,7537,0.08
C9,Fudge,Top,15,13,42,4.38,241,12461,0.23
DFM,Yutapon,Adc,25,4,32,14.25,317,15091,0.27
DFM,Steal,Jungle,21,7,32,7.57,184,11476,0.21
DFM,Aria,Mid,13,4,23,9.00,274,13064,0.25
DFM,Gaeng,Support,4,12,54,4.83,31,7782,0.07
DFM,Evi,Top,19,11,31,4.55,222,12058,0.19
GS,Alive,Adc,16,13,14,2.31,275,12462,0.25
GS,Mojito,Jungle,11,16,21,2.00,170,9847,0.16
GS,Bolulu,Mid,8,7,25,4.71,249,11585,0.22
GS,Zergsting,Support,3,10,31,3.40,27,7010,0.08
GS,Crazy,Top,12,11,20,2.91,224,11782,0.29
HLE,Deft,Adc,22,8,18,5.00,311,14914,0.35
HLE,Willer,Jungle,13,10,23,3.60,196,11220,0.14
HLE,Chovy,Mid,6,5,19,5.00,324,13917,0.23
HLE,Vsta,Support,5,10,32,3.70,37,7781,0.07
HLE,Morgan,Top,13,10,13,2.60,284,13513,0.2
INF,Whitelotus,Adc,7,11,13,1.82,286,11521,0.22
INF,Solidsnake,Jungle,5,17,18,1.35,169,9125,0.14
INF,Cody,Mid,4,19,15,1.00,195,9237,0.23
INF,Ackerman,Support,0,10,22,2.20,34,6328,0.08
INF,Buggax,Top,18,12,4,1.83,244,11762,0.33
LNG,Light,Adc,16,2,20,18.00,290,13381,0.23
LNG,Tarzan,Jungle,15,6,26,6.83,193,10958,0.18
LNG,Icon,Mid,9,5,26,7.00,266,11735,0.26
LNG,Iwandy,Support,3,2,36,19.50,40,7282,0.05
LNG,Ale,Top,26,3,16,14.00,278,15070,0.27
PCE,Violet,Adc,14,11,22,3.27,254,11315,0.2
PCE,Babip,Jungle,11,12,22,2.75,175,10525,0.19
PCE,Bapip,Jungle,4,5,1,1.00,162,9729,0.37
PCE,Tally,Mid,15,12,26,3.42,263,12650,0.21
PCE,Aladoric,Support,0,10,43,4.30,39,6596,0.08
PCE,Vizicsacsi,Top,13,12,14,2.25,236,11142,0.27
RED,Titan,Adc,12,11,15,2.45,254,11787,0.25
RED,Aegis,Jungle,6,14,16,1.57,196,9921,0.2
RED,Grevthar,Mid,10,12,18,2.33,217,10399,0.2
RED,Jojo,Support,3,14,23,1.86,30,6578,0.08
RED,Guigo,Top,8,16,15,1.44,222,11556,0.27
UOL,Argonavt,Adc,7,17,33,2.35,156,9711,0.25
UOL,Ahahacik,Jungle,8,17,26,2.00,163,9488,0.13
UOL,Nomanz,Mid,14,18,24,2.11,255,11447,0.31
UOL,Santas,Support,3,18,28,1.72,100,7539,0.08
UOL,Boss,Top,23,21,19,2.00,204,11602,0.23
