team,player,position,avg_kill_participation,avg_wards_place,avg_wards_destroyed,avg_wards_interaction
BYG,Doggo,Adc,0.69,13.80,9.80,23.60
BYG,Husha,Jungle,0.56,9.80,9.40,19.20
BYG,Maoan,Mid,0.55,13.80,5.60,19.40
BYG,Kino,Support,0.64,48.80,11.80,60.60
BYG,Liang,Top,0.53,13.75,6.00,19.75
BYG,Pk,Top,0.33,13.00,12.00,25.00
C9,Zven,Adc,0.6,12.40,9.80,22.20
C9,Blaber,Jungle,0.69,10.80,10.40,21.20
C9,Perkz,Mid,0.59,12.00,4.60,16.60
C9,Vulcan,Support,0.72,51.20,10.40,61.60
C9,Fudge,Top,0.67,13.00,4.80,17.80
DFM,Yutapon,Adc,0.67,10.40,12.00,22.40
DFM,Steal,Jungle,0.62,12.60,14.60,27.20
DFM,Aria,Mid,0.41,12.20,7.40,19.60
DFM,Gaeng,Support,0.68,51.60,8.60,60.20
DFM,Evi,Top,0.63,10.80,7.80,18.60
GS,Alive,Adc,0.56,13.75,8.75,22.50
GS,Mojito,Jungle,0.55,11.50,7.25,18.75
GS,Bolulu,Mid,0.52,15.00,2.00,17.00
GS,Zergsting,Support,0.73,45.75,11.50,57.25
GS,Crazy,Top,0.6,9.25,7.00,16.25
HLE,Deft,Adc,0.72,17.75,8.00,25.75
HLE,Willer,Jungle,0.66,16.00,13.00,29.00
HLE,Chovy,Mid,0.5,14.00,16.00,30.00
HLE,Vsta,Support,0.65,51.75,12.50,64.25
HLE,Morgan,Top,0.35,12.75,9.00,21.75
INF,Whitelotus,Adc,0.58,15.25,6.00,21.25
INF,Solidsnake,Jungle,0.67,12.75,12.75,25.50
INF,Cody,Mid,0.56,18.50,4.00,22.50
INF,Ackerman,Support,0.59,47.75,14.25,62.00
INF,Buggax,Top,0.52,11.50,4.50,16.00
LNG,Light,Adc,0.53,12.00,11.75,23.75
LNG,Tarzan,Jungle,0.61,7.50,16.00,23.50
LNG,Icon,Mid,0.5,9.50,4.00,13.50
LNG,Iwandy,Support,0.57,52.00,14.25,66.25
LNG,Ale,Top,0.62,10.25,5.75,16.00
PCE,Violet,Adc,0.64,11.75,9.75,21.50
PCE,Babip,Jungle,0.69,4.00,7.33,11.33
PCE,Bapip,Jungle,0.71,6.00,11.00,17.00
PCE,Tally,Mid,0.66,14.25,5.00,19.25
PCE,Aladoric,Support,0.74,48.25,8.75,57.00
PCE,Vizicsacsi,Top,0.41,16.75,5.00,21.75
RED,Titan,Adc,0.66,17.00,10.75,27.75
RED,Aegis,Jungle,0.56,12.00,7.00,19.00
RED,Grevthar,Mid,0.72,15.00,6.00,21.00
RED,Jojo,Support,0.72,40.75,10.50,51.25
RED,Guigo,Top,0.52,14.00,5.50,19.50
UOL,Argonavt,Adc,0.65,17.00,6.40,23.40
UOL,Ahahacik,Jungle,0.57,13.60,9.40,23.00
UOL,Nomanz,Mid,0.65,8.00,7.40,15.40
UOL,Santas,Support,0.56,30.80,8.40,39.20
UOL,Boss,Top,0.79,10.80,5.40,16.20
